team,players_used,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Angel City FC,26,26.0,,345,,,,,,,,,,,261,,,
Bay FC,26,26.0,,343,,,,,,,,,,,278,,,
Current,28,26.0,,373,,,,,,,,,,,340,,,
Gotham FC,27,26.0,,345,,,,,,,,,,,242,,,
Houston Dash,29,26.0,,321,,,,,,,,,,,289,,,
NC Courage,23,26.0,,325,,,,,,,,,,,266,,,
Orlando Pride,26,26.0,,303,,,,,,,,,,,235,,,
Portland Thorns,27,26.0,,348,,,,,,,,,,,302,,,
Racing Louisville,26,26.0,,296,,,,,,,,,,,319,,,
Red Stars,27,26.0,,327,,,,,,,,,,,259,,,
Reign,30,26.0,,311,,,,,,,,,,,269,,,
Royals,30,26.0,,297,,,,,,,,,,,264,,,
SD Wave,26,26.0,,302,,,,,,,,,,,237,,,
Washington Spirit,25,26.0,,367,,,,,,,,,,,261,,,
