team,players_used,possession,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received
Angel City FC,26,53.7,26.0,,,,,,,,,,,,,,,,,,,,
Bay FC,26,49.6,26.0,,,,,,,,,,,,,,,,,,,,
Current,28,47.7,26.0,,,,,,,,,,,,,,,,,,,,
Gotham FC,27,53.2,26.0,,,,,,,,,,,,,,,,,,,,
Houston Dash,29,46.6,26.0,,,,,,,,,,,,,,,,,,,,
NC Courage,23,57.2,26.0,,,,,,,,,,,,,,,,,,,,
Orlando Pride,26,50.5,26.0,,,,,,,,,,,,,,,,,,,,
Portland Thorns,27,48.8,26.0,,,,,,,,,,,,,,,,,,,,
Racing Louisville,26,46.9,26.0,,,,,,,,,,,,,,,,,,,,
Red Stars,27,41.9,26.0,,,,,,,,,,,,,,,,,,,,
Reign,30,49.3,26.0,,,,,,,,,,,,,,,,,,,,
Royals,30,49.4,26.0,,,,,,,,,,,,,,,,,,,,
SD Wave,26,54.7,26.0,,,,,,,,,,,,,,,,,,,,
Washington Spirit,25,50.6,26.0,,,,,,,,,,,,,,,,,,,,
