team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att
Angel City FC,31,26.0,30,347,110,31.7,13.35,4.23,0.08,0.26,1,2
Bay FC,25,26.0,26,300,100,33.3,11.54,3.85,0.08,0.23,3,3
Chicago Stars,27,26.0,32,277,107,38.6,10.65,4.12,0.12,0.3,0,0
Current,27,26.0,48,355,125,35.2,13.65,4.81,0.12,0.34,6,6
Gotham FC,29,26.0,33,307,115,37.5,11.81,4.42,0.1,0.26,3,3
Houston Dash,27,26.0,25,238,79,33.2,9.15,3.04,0.11,0.32,0,1
NC Courage,25,26.0,35,323,121,37.5,12.42,4.65,0.1,0.27,2,5
Orlando Pride,27,26.0,27,334,116,34.7,12.85,4.46,0.07,0.21,3,5
Portland Thorns,25,26.0,35,361,122,33.8,13.88,4.69,0.08,0.23,7,9
Racing Louisville,20,26.0,34,378,108,28.6,14.54,4.15,0.08,0.28,4,4
Reign,24,26.0,30,222,84,37.8,8.54,3.23,0.12,0.32,3,3
Royals,28,26.0,27,311,105,33.8,11.96,4.04,0.08,0.24,2,2
SD Wave,25,26.0,38,329,122,37.1,12.65,4.69,0.12,0.31,0,1
Washington Spirit,28,26.0,38,333,126,37.8,12.81,4.85,0.11,0.3,0,2
