team,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Angel City FC,1,4,4,360,4.0,4,1.0,14,10,71.4,3,0,1,1,25.0,0,0,0,0,
Bay FC,1,4,4,360,4.0,7,1.75,19,12,63.2,2,0,2,0,0.0,0,0,0,0,
Boston Legacy,1,4,4,360,4.0,7,1.75,11,6,45.5,0,0,4,0,0.0,2,1,1,0,50.0
Chicago Stars,2,5,5,450,5.0,11,2.2,28,18,64.3,1,0,4,0,0.0,1,1,0,0,0.0
Current,1,5,5,450,5.0,9,1.8,20,12,60.0,2,0,3,0,0.0,1,1,0,0,0.0
Denver Summit,1,5,5,450,5.0,3,0.6,27,24,88.9,1,3,1,3,60.0,0,0,0,0,
Gotham FC,1,5,5,450,5.0,4,0.8,20,14,80.0,1,2,2,3,60.0,0,0,0,0,
Houston Dash,1,4,4,360,4.0,5,1.25,16,13,81.3,3,0,1,2,50.0,2,2,0,0,0.0
NC Courage,1,4,4,360,4.0,6,1.5,19,13,68.4,1,2,1,1,25.0,0,0,0,0,
Orlando Pride,1,5,5,450,5.0,3,0.6,11,8,72.7,2,2,1,2,40.0,0,0,0,0,
Portland Thorns,2,5,5,450,5.0,5,1.0,27,22,81.5,3,1,1,3,60.0,0,0,0,0,
Racing Louisville,1,4,4,360,4.0,10,2.5,20,12,60.0,0,1,3,0,0.0,2,2,0,0,0.0
Reign,1,5,5,450,5.0,4,0.8,21,17,81.0,3,1,1,2,40.0,0,0,0,0,
Royals,1,5,5,450,5.0,6,1.2,20,14,70.0,2,1,2,1,20.0,0,0,0,0,
SD Wave,2,5,5,450,5.0,3,0.6,10,7,70.0,4,0,1,2,40.0,0,0,0,0,
Washington Spirit,1,5,5,450,5.0,4,0.8,13,9,69.2,1,3,1,2,40.0,0,0,0,0,
