team,shots,goals,shots_on_target,total_xg,avg_xg_per_shot
North Carolina Courage,270,30,88,34.2924286596,0.12700899503555554
Orlando Pride,139,10,44,16.7832766588,0.12074299754532374
Portland Thorns,97,14,36,13.9295777996,0.14360389484123712
OL Reign,105,10,39,13.0767084973,0.12454008092666667
Chicago Red Stars,103,11,35,11.9194716865,0.11572302608252427
NJ/NY Gotham FC,73,7,33,9.3219830101,0.12769839739863015
Washington Spirit,101,3,25,9.148317541499999,0.09057740140099009
Utah Royals,87,10,33,8.3035181526,0.0954427373862069
Houston Dash,66,7,22,6.640320269,0.10061091316666666
